,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,date_with_day,desc
221,2015,Confirmed,Avijit Roy,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/avijit.roy.ap.jpg,AP,Journalist,,Murder,Killed,Freelance,Freelance,"Internet Reporter,Print Reporter","Culture,Human Rights,Politics","Print,Internet",Bangladesh,Dhaka,,,Dhaka,,Foreign,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"February 26, 2015","On February 26, 2015, two unidentified men approached Avijit Roy and his wife, Rafida Ahmed Bonna, as they were leaving a book fair in the Dhaka University campus area, according to Bonna and witnesses, the Dhaka Tribune reported. The assailants stabbed and hacked at them with sharp weapons and fled the scene, news reports said. Roy and Bonna were taken to a local hospital, where Roy was pronounced dead, according to news reports. Bonna was critically wounded."
222,2016,Confirmed,Awab al-Zubiry,,Yemen,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Freelance,"Camera Operator,Photographer","Politics,War",Internet,Yemen,Taiz,,,Taiz,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"November 18, 2016","Photojournalist Awab al-Zubiry was killed on November 18, 2016, while documenting destruction from fighting between pro-government and Houthi rebel forces in the city of Taiz, roughly 200 miles (322 kilometers) south of Sanaa, according to Taiz News Network, the Yemeni Journalists Syndicate, and news reports."
223,2018,Confirmed,Awil Dahir Salad,,Somalia,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,Universal TV,Broadcast Reporter,Politics,"Radio,Television",Somalia,Mogadishu,,,Mogadishu,,Local,Political Group,Confirmed,,No,,,,,,,,,,,,,,"December 22, 2018","Awil Dahir Salad, a veteran broadcast journalist, was one of at least 26 people who died on December 22, 2018, in twin bomb attacks in Mogadishu, according to media reports. Awil, the host of a popular political debate show on the privately owned Universal TV, died alongside three of his colleagues—a driver and two bodyguards—according to media reports and a statement from the government-recognized National Union of Somali Journalists (NUSOJ)."
224,2012,Confirmed,Ayham Mostafa Ghazzoul,,Syria,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Syrian Center for Media and Freedom of Expression,Broadcast Reporter,"Human Rights,War",Internet,Syria,Damascus,,,Damascus,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"November 9, 2012","Ghazzoul, 26, a contributor and member of the Syrian Center forMedia and Freedom Expression (SCM), died in prison from injuries he sustained duringan attack on November 5 by students at Damascus University, according to SCM and a report bythe Dublin-based international human rights organization Frontline Defenders. Ghazzoul was in the Student Union on the campus of the universitywhen he was targeted in an attack by students loyal to Bashar al-Assad’sregime, according to SCM and Frontline Defenders. The journalist was known forreporting on abuses against journalists by al-Assad’s government and fordocumenting the killing and imprisonment of SCM journalists, according to Ghazzoul’suncle, Tawfik Halaaq, who spoke to SCM. The students beat Ghazzoul repeatedlyand then handed him over to security forces who imprisoned him. Security forces imprisoned Ghazzoul at the Air Force IntelligenceBase, a prison in the Damascus suburb of Mezze, where he died four days later,according to an SCM member who spoke to Ghazzoul’s cell mate in prison. Thejournalist never received treatment for his injuries."
225,2004,Confirmed,Ayoub Mohamed,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/ayoub_mohamed_iraq_2004.jpg,,Journalist,,Crossfire,Killed,Freelance,Kurdistan TV,Camera Operator,"Culture,Sports",Television,Iraq,Arbil,,,Arbil,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"February 1, 2004","Mohamed was among six journalists killed when the offices of the Patriotic Union of Kurdistan (PUK) and the Kurdistan Democratic Party (KDP) were attacked in twin suicide bombings as the two Kurdish groups hosted guests to commemorate the first day of the Muslim holiday Eid. More than 100 people, including several senior leaders in both parties,were killed in the 10:45 a.m. attack. Kurdish groups blamed the bombingson Islamist extremist groups based in northern Iraq who oppose thesecular Kurdish political groups."
226,1993,Confirmed,Aysel Malkac,,Turkey,,,Female,,,Journalist,,Murder,Killed,Staff,Ozgur Gundem,Print Reporter,"Culture,Human Rights,Politics",Print,Turkey,Istanbul,,,Istanbul,,Local,Government Officials,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"August 7, 1993","Malkac, a 23-year-old correspondent for Ozgur Gundem, disappeared after leaving the newspaper’s main office in Istanbul. Staff members suspect that the police took her because there was a heavy police presence around the building. Officials denied holding her. A person who was in custody at the Istanbul police headquarters between August 5 and 17 wrote a letter to Ozgur Gundem claiming he saw Malkac at the headquarters on the nights of August 8 and 9. After seven months with no news about her, Malkac’s colleagues and friends presumed her dead."
227,2013,Confirmed,Ayub Khattak,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Karak Times,Print Reporter,Crime,Print,Pakistan,Karak District,,,Karak District,,Local,Criminal Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"October 11, 2013","Khattak, a reporter for the Karak Times in Khyber Pakhtunkhwa’s southern Karak district, was shot dead outside his home, according to news reports and the Freedom Network, a Pakistani press freedom watchdog organization. Eyewitness accounts said two unidentified assailants riding a motorcycle waited outside Khattak’s home, fired at him when he appeared, and then fled the scene, the reports said."
228,2010,Confirmed,Azamat Ali Bangash,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Samaa TV,"Broadcast Reporter,Internet Reporter",,Television,Pakistan,Orakzai,,,Orakzai,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"April 17, 2010","Bangash, 34, a cameraman and correspondent, was killed in a suicide bombing while covering food distribution in a refugee camp near Orakzai, in the Federally Administered Tribal Areas near the border with Afghanistan. He was the second Samaa journalist killed in a suicide bombing in two days."
229,2001,Confirmed,Azizullah Haidari,,Afghanistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/azizullah_haidari_afghanistan_2001.jpg,,Journalist,,Murder,Killed,Staff,Reuters,Photographer,War,Print,Afghanistan,Nangarhar Province,,,Nangarhar Province,Nangarhar Province,Local,Paramilitary Group,Confirmed,,,Full Justice,No,Yes,No,,,,,,,,,,"November 19, 2001","Azizullah Haidari, an Afghan-born photographer for the Reuters news agency;Harry Burton, an Australian cameraman for Reuters; Julio Fuentes, a Spanishcorrespondent for the Madrid-based newspaper El Mundo; and Maria GraziaCutuli, an Italian correspondent for the Milan-based daily Corriere dellaSerra, were killed by a group of gunmen who ambushed their convoy."
230,1995,Confirmed,Azzedine Saidj,,Algeria,,,Male,,,Journalist,,Murder,Killed,Staff,El-Ouma,Editor,"Culture,Politics,War",Print,Algeria,near Algiers,,,near Algiers,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"May 15, 1995","Saidj, former editor-in-chief of the now-defunct independent weekly E- Ouma, was found dead in his car, about 10 miles east of Algiers. His throat had been slit."
231,1995,Confirmed,Bakhti Benaouda,,Algeria,,,Male,,,Journalist,,Murder,Killed,Staff,El-Djoumhouria,Columnist/Commentator,Politics,Print,Algeria,Oran,,,Oran,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"May 22, 1995","Benaouda, a professor of Arabic at Oran University and a frequent contributor to many publications, including the government-run daily El-Djoumhouria, was shot to death in the evening by unknown assailants in the Delmonte quarter of the western city of Oran."
232,2004,Confirmed,Bala Nadarajah Iyer,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,Thinamurasu and Thinakaran,Print Reporter,"Human Rights,Politics",Print,Sri Lanka,Colombo,,,Colombo,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"August 16, 2004","Iyer, a journalist, writer, and political activist with the oppositionTamil group the Eelam People’s Democratic Party (EPDP), was shot andkilled by unidentified assailants in the capital, Colombo."
233,2005,Confirmed,Bardhyl Ajeti,,Serbia,,,Male,,,Journalist,,Murder,Killed,Staff,Bota Sot,"Columnist/Commentator,Print Reporter",Politics,Print,Serbia,an area outside Pristina,,,an area outside Pristina,,Local,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"June 25, 2005","Ajeti, 28, a reporter for the Albanian-language daily Bota Sot, died in an Italian hospital on June 25, three weeks after being shot in Kosovo, Agence France-Presse reported."
234,2010,Confirmed,Barkhat Awale,,Somalia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Barqad%252520Awale%252520Adan1.jpg,SOMEPED,Journalist,,Crossfire,Killed,Staff,Hurma Radio,Editor,"Culture,War",Radio,Somalia,Mogadishu,,,Mogadishu,,Local,,Confirmed,,,,,,,,,,,,,,,,"August 24, 2010","Awale, 60, director of the community station Hurma Radio,was on the roof of the station helping a technician fix a transmitter when hewas struck in the abdomen by a stray bullet from nearby fighting, localjournalists told CPJ. His colleagues took him to Madina Hospital,where he was pronounced dead."
235,2012,Confirmed,Basel Tawfiq Youssef,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Syrian State TV,Broadcast Reporter,"Politics,War",Television,Syria,Damascus,,,Damascus,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"November 21, 2012","Youssef, a reporter for Syrian State TV, was shot and killedoutside his home in the Tadamoun neighborhood of Damascus, according to a report bythe broadcaster. Youssef, 42, had been working for Syrian State TV for eightyears, the broadcaster said. He had been kidnapped and threatened in the pastthree months, the report said."
236,2018,Confirmed,Bashar al-Attar,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Arbin Unified Media Office,Photographer,War,Internet,Syria,Arbin,,,Arbin,eastern Ghouta,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"March 12, 2018","Bashar al-Attar, a photographer for the pro-opposition Arbin Unified Media Office, died from injuries sustained in an airstrike on March 12, 2018, in the rebel-held eastern Ghouta area of Syria, outside of Damascus, according to his employer and the Syrian Journalists Association."
237,2013,Confirmed,Bashar al-Nuaimi,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Al-Mosuliya TV,"Camera Operator,Photographer","Corruption,Culture,Politics,War",Television,Iraq,Mosul,,,Mosul,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 24, 2013","Unidentified gunmen shot dead Bashar al-Nuaimi, a cameraman for the local Al-Mosuliya TV channel, near his home in the Al-Nabi Sheet neighborhood, news reports said."
238,2007,Confirmed,Bashiir Noor Gedi,,Somalia,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Shabelle,"Editor,Producer",War,Radio,Somalia,Mogadishu,,,Mogadishu,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"October 19, 2007","Gedi, acting manager of the independent station Radio Shabelle, was assassinated outside his home in Mogadishu by unknown gunmen, according to station employees and local journalists. Gedi was attempting to return to his home in the Hamar Jadid neighborhood after he and other Radio Shabelle employees had been holed up in the station for roughly a week because of a series of threats, according to journalists who spoke with his family."
239,2011,Confirmed,Basil al-Sayed,,Syria,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/al-sayed1.jpg,,Journalist,,Dangerous Assignment,Killed,Freelance,Freelance,Camera Operator,"Human Rights,Politics",Internet,Syria,Homs,,,Homs,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"December 27, 2011","Al-Sayed, a videographer who documented clashes in Homs, died in an improvised hospital from a gunshot wound suffered five days earlier at a checkpoint in the Baba Amr neighborhood, according to news reports and a prominent activist interviewed by CPJ. Al-Sayed was shot in the head by security forces, news accounts said, citing local activists and relatives."
240,2009,Confirmed,Basil Ibrahim Faraj,,Israel and the Occupied Palestinian Territory,,,Male,,,Journalist,,Crossfire,Killed,Staff,Palestinian Media and Communication Company,Camera Operator,"Politics,War",Television,Israel and the Occupied Palestinian Territory,Gaza ,,,Gaza ,,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"January 7, 2009","Faraj, a 22-year-old cameraman, was part of a four-member television crew that was traveling in Gaza on December 27, 2008, when its car was hit by an Israeli airstrike, according to regional news reports. The crew was not the target of the attack, but was hit by shrapnel and debris from the strike, the reports said."
241,2012,Confirmed,Bassel al-Shahade,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Freelance,Camera Operator,"Human Rights,War",Internet,Syria,Homs,,,Homs,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"May 28, 2012","Al-Shahade, a 28-year-old filmmaker and citizen journalist,and cameraman Ahmed al-Assam were filming incursions by security forces in theHoms neighborhood of Safsafa when a shell hit their car and killedthem, Amer Matar, an exiled Syrian journalist and a close friend of al-Shahade,told CPJ. News reports suggested that security forces targeted the journalistsbecause they were filming."
242,2013,Confirmed,Bassem Fawaz al-Zabi,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Freelance,Camera Operator,"Human Rights,Politics",Internet,Syria,Daraa,,,Daraa,,Local,,Confirmed,,,,,,,,,,,,,,,,"January 13, 2013","Al-Zabi was shot in the chest by a sniper while covering clashes betweenthe Syrian army and rebel forces in the neighborhood of Tafas in the southerncity of Daraa, according to regional and local newsoutlets. It was not immediately clear if al-Zabi was targeted by a sniper affiliatedwith the Syrian regime, or was shot by a gunman on the side of the rebelforces. Al-Zabi was a third-year dental student at Damascus University,but left his studies to become a journalist and expose abuses committed by thegovernment, according to his mother who spoke to the pro-opposition TV outletTafas News. He regularly filmed clashes between the army and rebel forces inthe neighborhood of Tafas and contributed to several local news outlets includingTafas News, according tonews reports. With an effective ban on foreign journalists and with localmedia neutralized, international media relied heavily on reporting and footageshot by al-Zabi and other citizen journalists."
